# ID,pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_radj,pl_radjerr1,pl_radjerr2,st_rad,st_raderr1,st_raderr2,pl_tranflag,ra,dec,st_elon,st_elat,pl_orbper
 157,        "HD 43197 b",9.2000001669e-01,9.9999997765e-03,9.9999997765e-03,8.2999998331e-01,5.0000000745e-02,9.9999997765e-03,2.5100000000e+02,7.0000000000e+00,1.2000000000e+01,1.2545977767e+00,2.3510641453e-01,1.9384325063e-01,1.0000000000e+00,9.9999997765e-03,9.9999997765e-03,0,9.3398590088e+01,-2.9897270203e+01,9.4930732727e+01,-5.3278408051e+01,3.2779998779e+02
 158,        "HD 44219 b",1.1900000572e+00,1.9999999553e-02,1.9999999553e-02,6.1000001431e-01,7.0000000298e-02,9.0000003576e-02,1.4739999390e+02,6.1999998093e+00,3.2000000477e+00,1.2474134594e+00,2.4611101458e-01,2.1732050074e-01,1.3200000525e+00,7.0000000298e-02,7.0000000298e-02,0,9.5059677124e+01,-1.0725008965e+01,9.6003814697e+01,-3.4058910370e+01,4.7229998779e+02
 159,        "HD 45364 b",6.8129998446e-01,6.8129998446e-02,6.8129998446e-02,1.6840000451e-01,1.8999999389e-02,1.8999999389e-02,1.6258000183e+02,6.3400001526e+00,6.3400001526e+00,8.0498576898e-01,3.3017788491e-01,2.2919032734e-01,9.6727685052e-01,4.4546606451e-02,4.4546606451e-02,0,9.6410316467e+01,-3.1480953217e+01,9.9486206055e+01,-5.4709354401e+01,2.2692999268e+02
 160,        "HD 45350 b",1.9199999571e+00,7.0000000298e-02,7.0000000298e-02,7.7799999714e-01,8.9999996126e-03,8.9999996126e-03,3.4339999390e+02,2.2999999523e+00,2.2999999523e+00,1.1867245251e+00,2.3136616488e-01,1.7363485121e-01,1.3152141509e+00,7.0983618339e-01,7.0983618339e-01,0,9.7190460205e+01,3.8962963104e+01,9.5801414490e+01,1.5668367386e+01,9.6359997559e+02
 161,        "HD 45652 b",2.3000000417e-01,2.3000000417e-02,2.3000000417e-02,3.7999999523e-01,5.9999998659e-02,5.9999998659e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1566684106e+00,3.8855488524e-01,3.3723499808e-01,9.5999997854e-01,1.9999999553e-02,1.9999999553e-02,0,9.7304962158e+01,1.0933891296e+01,9.7341598511e+01,-1.2319426537e+01,4.3599998474e+01
 162,        "HD 46375 b",3.9799999446e-02,2.3000000510e-03,2.3000000510e-03,6.3000001013e-02,2.6000000536e-02,2.6000000536e-02,1.1400000000e+02,2.4000000000e+01,2.4000000000e+01,9.1010849242e-01,3.3818462865e-01,2.7117283315e-01,9.9156737060e-01,5.5160302966e-01,5.5160302966e-01,0,9.8302597046e+01,5.4629249573e+00,9.8679687500e+01,-1.7726556778e+01,3.0235729218e+00
 163,        "HD 47186 b",5.0000000745e-02,5.0000000745e-03,5.0000000745e-03,3.9999999106e-02,1.9999999553e-02,1.9999999553e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,4.4300129099e-01,1.7538238934e-01,1.1999333319e-01,1.0800000429e+00,9.9999997765e-03,9.9999997765e-03,0,9.9036613464e+01,-2.7622297287e+01,1.0268257904e+02,-5.0664493561e+01,4.0844998360e+00
 164,        "HD 47536 b",1.9299999475e+00,3.1999999285e-01,3.1999999285e-01,2.0000000298e-01,7.9999998212e-02,7.9999998212e-02,2.6079998779e+02,2.3700000763e+01,2.3700000763e+01,1.1355529210e+00,2.1066537391e-01,1.8233009778e-01,2.2389999390e+01,1.0499999523e+00,1.0499999523e+00,0,9.9448410034e+01,-3.2339733124e+01,1.0410749054e+02,-5.5317253113e+01,7.1213000488e+02
 165,        "HD 48265 b",1.8099999428e+00,7.0000000298e-02,7.0000000298e-02,7.9999998212e-02,5.0000000745e-02,5.0000000745e-02,3.4377999878e+02,1.3750999451e+02,1.3750999451e+02,1.1914320930e+00,2.2406098135e-01,1.9613203600e-01,2.0499999523e+00,5.0000000745e-02,5.0000000745e-02,0,1.0000719452e+02,-4.8541954041e+01,1.1097618103e+02,-7.1253288269e+01,7.8029998779e+02
 166,        "HD 50499 b",3.8599998951e+00,6.0000002384e-01,6.0000002384e-01,2.3000000417e-01,1.4000000060e-01,1.4000000060e-01,2.6200000000e+02,3.6000000000e+01,3.6000000000e+01,1.2010123269e+00,2.2798650742e-01,1.8903374458e-01,1.0385105355e+00,3.1406996931e-02,3.1406996931e-02,0,1.0300843811e+02,-3.3915561676e+01,1.0976325226e+02,-5.6465801239e+01,2.4826999512e+03
