#name,ra,dec,elon,tau,elat,c1s1,c1s2,c1s3,c1s4,c1s5,c1s6,c1s7,c1s8,c1s9,c1s10,c1s11,c1s12,c1s13,c2s1,c2s2,c2s3,c2s4,c2s5,c2s6,c2s7,c2s8,c2s9,c2s10,c2s11,c2s12,c2s13
        "HD 47186 b",99.036613464,-27.622297287,102.68257904,-50.664493561,54.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 47536 b",99.448410034,-32.339733124,104.10749054,-55.317253113,54.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 48265 b",100.00719452,-48.541954041,110.97618103,-71.253288269,81.0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 50499 b",103.00843811,-33.915561676,109.76325226,-56.465801239,54.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 50554 b",103.67843628,24.245557785,102.45531464,1.3957550526,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 60532 b",113.51325226,-22.296066284,120.46705627,-43.280029297,27.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 60532 c",113.51325226,-22.296066284,120.46705627,-43.280029297,27.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 62509 b",116.3289566,28.026199341,113.21563721,6.6841878891,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
        "HD 63765 b",116.95716095,-54.264144897,149.69459534,-72.141288757,81.0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 65216 b",118.42217255,-63.647323608,179.52915955,-77.8022995,324.0,4,4,4,4,4,0,4,4,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
